date,open,close,high,low,volume
2023-08-07,4459.160,4499.43,4509.890,4413.770,15745842988.000
2023-08-08,4414.350,4374.2,4438.930,4361.440,22155346788.000
2023-08-09,4310.590,4373.71,4383.130,4302.390,18664582921.000
2023-08-10,4337.680,4378.04,4392.200,4297.860,17987374480.000
2023-08-11,4386.430,4273.19,4386.430,4261.650,22742887748.000
2023-08-14,4157.980,4208.43,4215.030,4123.460,23273603003.000
2023-08-15,4170.090,4179.13,4229.110,4156.420,16495129028.000
2023-08-16,4126.570,4126.13,4180.190,4114.250,19502203103.000
2023-08-17,4049.270,4158.28,4189.460,4023.750,30773956713.000
2023-08-18,4110.850,4007.39,4135.900,4002.090,25504620874.000
2023-08-21,3951.170,3923.16,4014.000,3911.650,27465806061.000
2023-08-22,3956.410,4000.92,4049.860,3910.300,25257288765.000
2023-08-23,3989.860,4008.86,4049.090,3950.670,21439136644.000
2023-08-24,4057.070,4158.02,4175.260,4046.990,29989684910.000
2023-08-25,4087.110,4058.95,4109.400,4054.980,21871204119.000
2023-08-28,4257.210,4127.54,4268.260,4118.570,24885855205.000
2023-08-29,4170.470,4234.43,4254.260,4153.130,23830655775.000
2023-08-30,4299.730,4195.41,4315.590,4175.170,29347659506.000
2023-08-31,4240.070,4179.49,4269.670,4154.950,45895409242.000
2023-09-04,4257.600,4305.02,4309.870,4236.960,46503831094.000
2023-09-05,4286.280,4193.45,4286.280,4184.720,28612561950.000
2023-09-06,4167.770,4176.84,4187.300,4116.760,22465107678.000
2023-09-07,4179.950,4091.65,4179.950,4082.290,21445866424.000
2023-09-11,3997.620,4083.14,4107.090,3983.930,29321112060.000
2023-09-12,4058.240,4063.96,4111.480,4031.350,17110658634.000
2023-09-13,4082.260,4041.19,4093.640,4024.170,15739716369.000
2023-09-14,4065.080,4059.15,4089.680,4028.420,15051494577.000
2023-09-15,4081.470,4077.91,4128.480,4028.750,26953317335.000
2023-09-18,4040.570,3987.35,4062.410,3987.350,17233114468.000
2023-09-19,3993.650,3984.79,3999.450,3942.280,16808843726.000
2023-09-20,3963.660,3921.83,3966.010,3903.630,17350995518.000
2023-09-21,3887.640,3849.27,3893.750,3827.180,19996387058.000
2023-09-22,3821.310,3991.33,3997.330,3821.310,23108493767.000
2023-09-25,3976.020,3882.9,3976.020,3873.990,17867470996.000
2023-09-26,3866.420,3817.27,3878.960,3794.210,19790647859.000
2023-09-27,3823.810,3833.87,3884.180,3821.120,18215203168.000
2023-09-28,3831.320,3778.12,3845.060,3760.130,20549854610.000
2023-09-29,3821.550,3920.59,3954.890,3811.560,16465171889.000
2023-10-03,3858.660,3817.52,3858.660,3788.630,15921827327.000
2023-10-04,3796.170,3752.42,3796.840,3732.330,13207110377.000
2023-10-05,3784.720,3757.82,3806.800,3751.990,11269487237.000
2023-10-06,3795.160,3816.15,3848.750,3791.780,10169251506.000
2023-10-09,3807.060,3825.48,3859.850,3799.790,12633907601.000
2023-10-10,3864.330,3874.67,3936.800,3864.330,20086564164.000
2023-10-11,3960.670,3952.5,3985.200,3935.800,23950158202.000
2023-10-12,4038.540,4019.05,4038.540,4005.260,20116096354.000
2023-10-13,3908.830,3879.84,3938.420,3870.110,22484954152.000
2023-10-16,3875.470,3811.68,3887.140,3794.040,17608805923.000
2023-10-17,3855.480,3836.05,3856.360,3808.430,14792540011.000
2023-10-18,3818.850,3771.92,3821.980,3766.630,20883263123.000
2023-10-19,3709.980,3700.15,3731.520,3692.220,27667921312.000
2023-10-20,3667.300,3662.15,3710.060,3658.920,22430914534.000
2023-10-24,3660.800,3622.86,3674.460,3586.500,24499279841.000
2023-10-25,3786.830,3700.94,3802.390,3671.090,25764426581.000
2023-10-26,3699.670,3712.55,3738.980,3665.310,16395937341.000
2023-10-27,3739.810,3806.1,3830.380,3722.650,23665027401.000
2023-10-30,3763.200,3854.31,3854.310,3763.200,24098969520.000
2023-10-31,3829.230,3759.16,3829.230,3746.810,18653554096.000
2023-11-01,3762.020,3752.37,3780.150,3711.600,15302890857.000
2023-11-02,3813.200,3813.42,3878.050,3793.550,18692302448.000
2023-11-03,3865.860,3937.37,3949.750,3839.980,25128002609.000
2023-11-06,4025.880,4098.58,4109.630,4025.880,32927662249.000
2023-11-07,4052.970,4055.84,4098.760,4033.410,19313677835.000
2023-11-08,4045.740,4020.84,4091.470,4006.290,21542997966.000
2023-11-09,4037.740,4024.24,4075.030,4004.710,16238134558.000
2023-11-10,3944.230,3892.44,3953.450,3885.930,22447797351.000
2023-11-13,3915.740,3981.27,3989.760,3894.840,20023469505.000
2023-11-14,4004.870,3951.75,4010.060,3935.250,18672392093.000
2023-11-15,4078.780,4125.87,4125.870,4036.390,34114625330.000
2023-11-16,4169.700,4049.72,4169.700,4009.640,35865974326.000
2023-11-17,3983.680,3980.15,4015.450,3951.920,37919021302.000
2023-11-20,4030.110,4077.58,4083.030,3999.510,35477877586.000
2023-11-21,4137.240,4037.07,4157.510,4019.440,35699073073.000
2023-11-22,4034.470,4029.82,4071.310,4006.620,23344216036.000
2023-11-23,4038.240,4117.12,4122.380,4021.160,21191818569.000
2023-11-24,4085.350,4024.83,4085.350,4018.410,17893819604.000
2023-11-27,4063.690,4031.66,4063.690,3972.030,18811825578.000
2023-11-28,4035.510,4000.42,4045.470,3978.140,29938161679.000
2023-11-29,4004.960,3910.24,4004.960,3884.030,45680765556.000
2023-11-30,3904.160,3899.64,3914.620,3850.300,38374966759.000
2023-12-01,3885.260,3830.92,3886.030,3818.940,39096409617.000
2023-12-04,3842.680,3759.72,3842.680,3745.600,30098410664.000
2023-12-05,3744.050,3682.67,3744.050,3647.420,29723319245.000
2023-12-06,3691.070,3747.58,3777.560,3668.180,24516899244.000
2023-12-07,3719.760,3720.21,3732.690,3671.150,19300490987.000
2023-12-08,3720.060,3705.93,3751.810,3674.490,24966748386.000
2023-12-11,3657.290,3666.51,3690.170,3603.520,25357416854.000
2023-12-12,3686.250,3730.25,3746.680,3666.160,18296540560.000
2023-12-13,3703.490,3686.21,3711.110,3658.310,19429367362.000
2023-12-14,3733.040,3698.57,3771.400,3673.400,23746579487.000
2023-12-15,3750.260,3780.69,3841.380,3749.110,36565628144.000
2023-12-18,3748.420,3730.66,3763.030,3711.690,20867683254.000
2023-12-19,3712.220,3707.76,3730.880,3674.770,22564515651.000
2023-12-20,3758.240,3726.5,3768.850,3713.040,20073972951.000
2023-12-21,3679.130,3710.22,3722.150,3662.720,16307045288.000
2023-12-22,3745.310,3548.05,3773.150,3527.450,68646102418.000
2023-12-27,3641.180,3639.76,3651.680,3597.560,38722211098.000
2023-12-28,3647.170,3763.9,3800.250,3640.940,32942001565.000
2023-12-29,3778.020,3764.29,3792.220,3725.300,20686668796.000
2024-01-02,3803.440,3714.77,3808.230,3694.210,20739364942.000
2024-01-03,3657.960,3646.39,3661.040,3623.030,20191258593.000
2024-01-04,3665.150,3654.94,3666.420,3616.470,17983348628.000
