tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20190618,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12943.42,9.93,0.08,2103006446.0,141.94,100.0,8.33,2019-06-18,8.33,141.94
20190619,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13052.01,108.59,0.84,3448549636.0,240.33,100.0,8.34,2019-06-19,8.34,240.33
20190620,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13241.76,189.76,1.45,4886978822.0,329.15,100.0,8.47,2019-06-20,8.47,329.15
20190621,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13279.49,37.73,0.28,4191855680.0,279.54,100.0,8.45,2019-06-21,8.45,279.54
20190624,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13284.94,5.45,0.04,2621374465.0,180.16,100.0,8.47,2019-06-24,8.47,180.16
20190625,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13183.56,-101.38,-0.76,3963359524.0,321.69,100.0,8.37,2019-06-25,8.37,321.69
20190626,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13164.37,-19.19,-0.15,2567180116.0,189.82,100.0,8.35,2019-06-26,8.35,189.82
20190627,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13199.12,34.75,0.26,2810120828.0,209.31,100.0,8.39,2019-06-27,8.39,209.31
20190628,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13134.66,-64.47,-0.49,2425313964.0,168.54,100.0,8.36,2019-06-28,8.36,168.54
20190701,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13311.52,176.86,1.35,3629736798.0,264.53,100.0,8.44,2019-07-01,8.44,264.53
20190702,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13327.2,15.69,0.12,2981428132.0,224.88,100.0,8.46,2019-07-02,8.46,224.88
20190703,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13346.78,19.57,0.15,2963277568.0,207.86,100.0,8.4,2019-07-03,8.4,207.86
20190704,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13349.46,2.69,0.02,2873843400.0,195.08,100.0,8.41,2019-07-04,8.41,195.08
20190705,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13358.75,9.28,0.07,2070108249.0,146.88,100.0,8.4,2019-07-05,8.4,146.88
20190708,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13089.81,-268.94,-2.01,2992974869.0,204.33,100.0,8.23,2019-07-08,8.23,204.33
20190709,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13049.2,-40.61,-0.31,1841144324.0,129.31,100.0,8.18,2019-07-09,8.18,129.31
20190710,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12995.51,-53.7,-0.41,1689034554.0,123.29,100.0,8.14,2019-07-10,8.14,123.29
20190711,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13000.87,5.36,0.04,1799219555.0,134.29,100.0,8.16,2019-07-11,8.16,134.29
20190712,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13072.72,71.85,0.55,1933649424.0,143.65,100.0,8.18,2019-07-12,8.18,143.65
20190715,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13121.91,49.19,0.38,2398226508.0,166.62,100.0,8.18,2019-07-15,8.18,166.62
20190716,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13126.28,4.36,0.03,1623527247.0,124.08,100.0,8.18,2019-07-16,8.18,124.08
20190717,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13105.29,-20.99,-0.16,1741222072.0,124.2,100.0,8.15,2019-07-17,8.15,124.2
20190718,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12996.23,-109.05,-0.83,1802272990.0,127.75,100.0,8.11,2019-07-18,8.11,127.75
20190719,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13091.27,95.04,0.73,2076551464.0,148.99,100.0,8.19,2019-07-19,8.19,148.99
20190722,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12980.46,-110.81,-0.85,2257219751.0,156.47,100.0,8.16,2019-07-22,8.16,156.47
20190723,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13044.76,64.3,0.5,1884556290.0,130.53,100.0,8.19,2019-07-23,8.19,130.53
20190724,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13117.72,72.96,0.56,2251371783.0,160.59,100.0,8.23,2019-07-24,8.23,160.59
20190725,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13145.32,27.6,0.21,2073087487.0,163.92,100.0,8.28,2019-07-25,8.28,163.92
20190726,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13185.78,40.46,0.31,2015945974.0,144.28,100.0,8.3,2019-07-26,8.3,144.28
20190729,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13199.6,13.82,0.1,2046034305.0,143.95,100.0,8.29,2019-07-29,8.29,143.95
20190730,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13252.6,53.01,0.4,2155581317.0,155.35,100.0,8.31,2019-07-30,8.31,155.35
20190731,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13206.51,-46.09,-0.35,2072508960.0,148.46,100.0,8.28,2019-07-31,8.28,148.46
20190801,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13135.07,-71.44,-0.54,2047659808.0,142.34,100.0,8.22,2019-08-01,8.22,142.34
20190802,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12973.63,-161.44,-1.23,2694405533.0,187.02,100.0,8.12,2019-08-02,8.12,187.02
20190805,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12797.61,-176.02,-1.36,2943561413.0,197.22,100.0,7.99,2019-08-05,7.99,197.22
20190806,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12562.92,-234.69,-1.83,3394063320.0,223.83,100.0,7.88,2019-08-06,7.88,223.83
20190807,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12565.22,2.3,0.02,2316524115.0,159.55,100.0,7.85,2019-08-07,7.85,159.55
20190808,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12642.03,76.8,0.61,2158647265.0,151.59,100.0,7.92,2019-08-08,7.92,151.59
20190809,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12571.18,-70.84,-0.56,1932023104.0,135.09,100.0,7.91,2019-08-09,7.91,135.09
20190812,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12687.76,116.58,0.93,1798785457.0,128.53,100.0,7.97,2019-08-12,7.97,128.53
20190813,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12619.3,-68.46,-0.54,1829522599.0,125.35,100.0,7.91,2019-08-13,7.91,125.35
20190814,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12656.63,37.33,0.3,1998386380.0,149.06,100.0,7.92,2019-08-14,7.92,149.06
20190815,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12650.4,-6.23,-0.05,2034283630.0,145.45,100.0,7.92,2019-08-15,7.92,145.45
20190816,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12654.31,3.91,0.03,1837553229.0,134.86,100.0,7.9,2019-08-16,7.9,134.86
20190819,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12867.28,212.97,1.68,3466552136.0,241.59,100.0,7.97,2019-08-19,7.97,241.59
20190820,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12837.96,-29.32,-0.23,2386201180.0,167.43,100.0,7.94,2019-08-20,7.94,167.43
20190821,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12807.25,-30.72,-0.24,1640670227.0,120.32,100.0,7.94,2019-08-21,7.94,120.32
20190822,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12791.62,-15.63,-0.12,1655091482.0,118.32,100.0,7.91,2019-08-22,7.91,118.32
20190823,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12798.86,7.24,0.06,1857324007.0,154.31,100.0,7.95,2019-08-23,7.95,154.31
20190826,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12699.5,-99.36,-0.78,2425175924.0,186.62,100.0,7.86,2019-08-26,7.86,186.62
20190827,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12838.83,139.33,1.1,3194712530.0,244.84,100.0,7.93,2019-08-27,7.93,244.84
20190828,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12833.52,-5.31,-0.04,2191418434.0,187.01,100.0,7.91,2019-08-28,7.91,187.01
20190829,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12789.32,-44.2,-0.34,2105886486.0,161.79,100.0,7.88,2019-08-29,7.88,161.79
20190830,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12710.02,-79.3,-0.62,2147190126.0,161.64,100.0,7.86,2019-08-30,7.86,161.64
