date,close
1933-07-31,11.23
1933-08-31,10.67
1933-09-30,10.58
1933-10-31,9.55
1933-11-30,9.78
1933-12-31,9.97
1934-01-31,10.54
1934-02-28,11.32
1934-03-31,10.74
1934-04-30,10.92
1934-05-31,9.81
1934-06-30,9.94
1934-07-31,9.47
1934-08-31,9.1
1934-09-30,8.88
1934-10-31,8.95
1934-11-30,9.2
1934-12-31,9.26
1935-01-31,9.26
1935-02-28,8.98
1935-03-31,8.41
1935-04-30,9.04
1935-05-31,9.75
1935-06-30,10.12
1935-07-31,10.65
1935-08-31,11.37
1935-09-30,11.61
1935-10-31,11.92
1935-11-30,13.04
1935-12-31,13.04
1936-01-31,13.76
1936-02-29,14.55
1936-03-31,14.86
1936-04-30,14.88
1936-05-31,14.09
1936-06-30,14.69
1936-07-31,15.56
1936-08-31,15.87
1936-09-30,16.05
1936-10-31,16.89
1936-11-30,17.36
1936-12-31,17.06
1937-01-31,17.59
1937-02-28,18.11
1937-03-31,18.09
1937-04-30,17.01
1937-05-31,16.25
1937-06-30,15.64
1937-07-31,16.57
1937-08-31,16.74
1937-09-30,14.37
1937-10-31,12.28
1937-11-30,11.2
1937-12-31,11.02
1938-01-31,11.31
1938-02-28,11.04
1938-03-31,10.31
1938-04-30,9.89
1938-05-31,9.98
1938-06-30,10.21
1938-07-31,12.24
1938-08-31,12.31
1938-09-30,11.75
1938-10-31,13.06
1938-11-30,13.07
1938-12-31,12.69
1939-01-31,12.5
1939-02-28,12.4
1939-03-31,12.39
1939-04-30,10.83
1939-05-31,11.23
1939-06-30,11.43
1939-07-31,11.71
1939-08-31,11.54
1939-09-30,12.77
1939-10-31,12.9
1939-11-30,12.67
1939-12-31,12.37
1940-01-31,12.3
1940-02-29,12.22
1940-03-31,12.15
1940-04-30,12.27
1940-05-31,10.58
1940-06-30,9.67
1940-07-31,9.99
1940-08-31,10.2
1940-09-30,10.63
1940-10-31,10.73
1940-11-30,10.98
1940-12-31,10.53
1941-01-31,10.55
1941-02-28,9.89
1941-03-31,9.95
1941-04-30,9.64
1941-05-31,9.43
1941-06-30,9.76
1941-07-31,10.26
1941-08-31,10.21
1941-09-30,10.24
1941-10-31,9.83
1941-11-30,9.37
1941-12-31,8.76
1942-01-31,8.93
1942-02-28,8.65
1942-03-31,8.18
1942-04-30,7.84
1942-05-31,7.93
1942-06-30,8.33
1942-07-31,8.64
1942-08-31,8.59
1942-09-30,8.68
1942-10-31,9.32
1942-11-30,9.47
1942-12-31,9.52
1943-01-31,10.09
1943-02-28,10.69
1943-03-31,11.07
1943-04-30,11.44
1943-05-31,11.89
1943-06-30,12.1
1943-07-31,12.35
1943-08-31,11.74
1943-09-30,11.99
1943-10-31,11.88
1943-11-30,11.33
1943-12-31,11.48
1944-01-31,11.85
1944-02-29,11.77
1944-03-31,12.1
1944-04-30,11.89
1944-05-31,12.1
1944-06-30,12.67
1944-07-31,13.0
1944-08-31,12.81
1944-09-30,12.6
1944-10-31,12.91
1944-11-30,12.82
1944-12-31,13.1
1945-01-31,13.49
1945-02-28,13.94
1945-03-31,13.93
1945-04-30,14.28
1945-05-31,14.82
1945-06-30,15.09
1945-07-31,14.78
1945-08-31,14.83
1945-09-30,15.84
1945-10-31,16.5
1945-11-30,17.04
1945-12-31,17.33
1946-01-31,18.02
1946-02-28,18.07
1946-03-31,17.53
1946-04-30,18.66
1946-05-31,18.7
1946-06-30,18.58
1946-07-31,18.05
1946-08-31,17.7
1946-09-30,15.09
1946-10-31,14.75
1946-11-30,14.69
1946-12-31,15.13
1947-01-31,15.21
1947-02-28,15.8
1947-03-31,15.16
1947-04-30,14.6
1947-05-31,14.34
1947-06-30,14.84
1947-07-31,15.77
1947-08-31,15.46
1947-09-30,15.06
1947-10-31,15.45
1947-11-30,15.27
1947-12-31,15.03
1948-01-31,14.83
1948-02-29,14.1
1948-03-31,14.3
1948-04-30,15.4
1948-05-31,16.15
1948-06-30,16.82
1948-07-31,16.42
1948-08-31,15.94
1948-09-30,15.76
1948-10-31,16.19
1948-11-30,15.29
1948-12-31,15.19
1949-01-31,15.36
1949-02-28,14.77
1949-03-31,14.91
1949-04-30,14.89
1949-05-31,14.78
1949-06-30,13.97
1949-07-31,14.76
1949-08-31,15.29
1949-09-30,15.49
1949-10-31,15.89
1949-11-30,16.11
1949-12-31,16.54
1950-01-31,16.88
1950-02-28,17.21
1950-03-31,17.35
1950-04-30,17.84
1950-05-31,18.44
1950-06-30,18.74
1950-07-31,17.38
1950-08-31,18.43
1950-09-30,19.08
1950-10-31,19.87
1950-11-30,19.83
1950-12-31,19.75
1951-01-31,21.21
1951-02-28,22.0
1951-03-31,21.63
1951-04-30,21.92
1951-05-31,21.93
1951-06-30,21.55
1951-07-31,21.93
1951-08-31,22.89
1951-09-30,23.48
1951-10-31,23.36
1951-11-30,22.71
1951-12-31,23.41
1952-01-31,24.19
1952-02-29,23.75
1952-03-31,23.81
1952-04-30,23.74
1952-05-31,23.73
1952-06-30,24.38
1952-07-31,25.08
1952-08-31,25.18
1952-09-30,24.78
1952-10-31,24.26
1952-11-30,25.03
1952-12-31,26.04
1953-01-31,26.18
